SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Volatinia jacarina,0.010426085,259,48,11,LC,1,0,0,22723396,Volatinia jacarina,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Volatinia,LC,Increasing,FALSE,FALSE,TRUE
Willisornis poecilinotus,0.015095746,22556,1368,69,LC,1,0,0,103658813,Willisornis poecilinotus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Willisornis,LC,Stable,FALSE,FALSE,TRUE
Wilsonia pusilla,0.022991709,3847,132,35,LC,1,0,0,22721879,Cardellina pusilla,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARULIDAE,Cardellina,LC,Decreasing,FALSE,TRUE,TRUE
Xenopipo atronitens,0.010228311,56,0,6,LC,1,0,0,22701125,Xenopipo atronitens,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PIPRIDAE,Xenopipo,LC,Decreasing,FALSE,FALSE,TRUE
Xenops minutus,0.055272694,1163693,3050,215,LC,1,0,0,103670750,Xenops minutus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xenops,LC,Decreasing,FALSE,FALSE,TRUE
Xiphirhynchus superciliaris,0.008869609,381,0,10,LC,1,0,0,22715994,Pomatorhinus superciliaris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TIMALIIDAE,Pomatorhinus,LC,Stable,FALSE,FALSE,TRUE
Xiphorhynchus elegans,0.012372121,13815,0,48,LC,1,0,0,22703121,Xiphorhynchus elegans,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus erythropygius,0.011103661,227,0,7,LC,1,0,0,103670271,Xiphorhynchus erythropygius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus fuscus,0.01575777,9474,214,38,LC,1,0,0,103669772,Xiphorhynchus fuscus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus guttatus,0.005309945,1985,0,33,LC,1,0,0,103670045,Xiphorhynchus guttatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus obsoletus,0.001071789,500,62,32,LC,1,0,0,22703112,Xiphorhynchus obsoletus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,TRUE,TRUE
Xiphorhynchus ocellatus,0.028444292,3343,0,16,LC,1,0,0,103669826,Xiphorhynchus ocellatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus pardalotus,0.002124656,93,0,10,LC,1,0,0,22703124,Xiphorhynchus pardalotus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Stable,FALSE,FALSE,TRUE
Xiphorhynchus spixii,0.005040713,1999,58,30,LC,1,0,0,22703118,Xiphorhynchus spixii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Xiphorhynchus susurrans,0.006922191,4794,0,38,LC,1,0,0,22729055,Xiphorhynchus susurrans,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Xiphorhynchus,LC,Decreasing,FALSE,FALSE,TRUE
Yuhina flavicollis,0.004028124,107,12,9,LC,1,0,0,22716731,Yuhina flavicollis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Yuhina,LC,Unknown,FALSE,FALSE,TRUE
Zenaida macroura,0.000487,2,48,8,LC,1,0,0,22690736,Zenaida macroura,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Zenaida,LC,Increasing,FALSE,TRUE,TRUE
Zonotrichia albicollis,0.004708245,15,16,6,LC,1,0,0,22721085,Zonotrichia albicollis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Zonotrichia,LC,Decreasing,FALSE,FALSE,TRUE
